#OTU ID	SRR11796889	SRR11796890	SRR11796891	SRR11796892	SRR11796893	SRR11796894	SRR11796895	SRR11796896	SRR11796897	SRR11796898	SRR11796899	SRR11796900	SRR11796901	SRR11796902	SRR11796903	SRR11796904	SRR11796905	SRR11796906	SRR11796907	SRR11796908	SRR11796909	SRR11796910	SRR11796911	SRR11796912	SRR11796913	SRR11796914	SRR11796915	SRR11796916	SRR11796917	SRR11796918	SRR11796919	SRR11796920	SRR11796921	SRR11796922	SRR11796923	SRR11796924	SRR11796925	SRR11796926	SRR11796927	SRR11796928	SRR11796929	SRR11796930	SRR11796931	SRR11796932	SRR11796933	SRR11796934	SRR11796935	SRR11796936	SRR11796937	SRR11796938
Otu118	4	1	4	0	0	1	4	5	0	13	9	0	5	1	3	0	5	28	11	11	3	2	26	25	3	4	2	0	3	4	13	5	1	2	4	0	4	1	8	0	1	0	26	3	27	21	28	5	7	4
Otu222	42	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	23	12	0	0	1	31	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	12	2	1	0
Otu358	18	5	0	0	0	0	0	16	4	0	0	15	6	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	21	0	0	0	0
Otu398	5	2	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	9	5	0	4	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	7	1	0	0
Otu373	22	11	0	0	0	0	0	79	22	3	12	37	14	8	18	60	2	1	0	3	1	0	1	0	29	248	0	7	131	1	0	30	7	1	0	659	224	0	0	125	1	532	0	0	22	23	8	3	21	0
Otu271	56	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	21	0	0	28	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	4	4	0	0	0	0
Otu272	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu276	25	12	0	0	0	1	3	32	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	27	1	0	12	0	0	4	0	0	0	41	10	0	0	3	0	26	0	0	0	0	4	5	0	0
Otu91	59	54	0	0	0	0	1	33	8	0	0	99	1	8	0	0	0	0	0	0	0	0	1	3	0	329	214	0	325	0	0	0	0	89	20	3	3	110	0	0	0	29	0	0	9	4	0	0	26	0
Otu53	52	14	14	0	2	615	143	16	1	1	3	5	2	1	0	4	0	2	0	0	24	4	1	1	335	0	0	73	0	0	2	0	0	0	2	0	0	0	0	0	0	0	6	0	471	323	1	0	1	0
Otu92	24	15	14	0	2	265	28	93	28	4	12	1	1	3	0	1	32	5	19	11	17	1	142	31	125	1	10	26	6	0	1	6	0	1	2	0	0	1	0	0	0	0	23	0	584	133	13	3	4	0
Otu128	41	30	0	0	0	0	0	16	4	1	0	2	128	1	79	2	0	0	0	0	3	2	0	0	10	5	0	3	8	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	28	6	62	49	0	0
Otu340	12	4	3	0	1	0	0	0	0	9	25	2	5	2	4	0	0	0	0	1	1	0	7	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	4	0	0	6	0
Otu338	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	14	0	0	7	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	3	3	0	0
Otu371	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu280	8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu277	73	22	2	0	0	0	0	3	1	0	0	10	1	2	1	0	0	0	0	0	0	0	0	0	206	4	0	30	0	0	0	37	8	1	0	2	0	0	0	0	0	1	0	0	5	2	39	18	0	0
Otu239	11	1	0	0	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	98	10	0	0	15	4	0	0	0	0	0	0	0	7	3	0	0	0	0
Otu302	13	4	14	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu20	110	52	1548	0	211	73	22	151	101	1	0	0	113	0	108	0	0	0	3	2	18	14	0	0	7	13	44	1	3	2	10	91	7	0	0	0	0	24	1	18	1	84	7	0	6109	3885	717	415	0	0
Otu193	6	4	0	0	0	0	0	91	18	0	0	3	0	0	0	20	0	0	0	0	0	0	3	0	0	66	2	0	38	0	0	68	37	175	90	11	1	0	0	6	0	28	0	0	1	1	15	6	118	0
Otu202	1	0	1	0	0	0	0	8	0	2	1	0	0	0	1	2	0	10	1	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	1	0	0	0	0
Otu249	26	23	1	0	0	0	0	0	0	1	0	40	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0
Otu15	75	21	9	7	4	579	267	115	22	1	0	2	0	2	3	769	0	0	0	0	51	11	3	2	2	794	1998	1	1458	24	1	2978	842	6	4	415	160	1331	0	2	0	7	0	0	49	73	4	1	2	7
Otu364	105	101	4	0	0	17	0	71	20	0	2	168	113	25	69	13	1	2	0	2	66	15	0	2	20	47	4	3	17	6	3	84	18	4	0	1129	506	7	1	5	0	21	4	0	34	20	132	52	0	0
Otu405	8	0	0	0	0	0	0	0	1	0	0	3	4	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0	0	0	0
Otu385	11	4	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
